GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_white,pct_black,pct_hispanic,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
17031251400,Census Tract 2514,Austin,1,3.0590394616090544,3.7643642409901923,21049.0,Q1 (lowest),3269,13.949219944937289,84.42948914040991,4.986234322422759,31.752829611501987,39.0,45.2,19.7,0.265649107254551,688028,Chicago,Has court,41.89095744228987,-87.77012479716826
17031260300,Census Tract 2603,Garfield Park,2,12.383900928792569,15.735663923544976,,nan,1615,2.910216718266254,87.6780185758514,10.588235294117647,36.26782393056416,37.7,45.1,20.9,0.1270998166786873,329187,Chicago,Has court,41.884276615036505,-87.73313624783252
17031260500,Census Tract 2605,Garfield Park,0,0.0,0.0,40991.0,Q1 (lowest),1594,0.9410288582183186,98.93350062735257,2.5721455457967375,22.187303582652422,37.9,47.8,21.5,0.13032994747466012,337553,Chicago,No court,41.87666392980593,-87.7377281698673
17031260600,Census Tract 2606,Garfield Park,0,0.0,0.0,42875.0,Q1 (lowest),2115,1.276595744680851,96.73758865248226,1.3238770685579195,17.872340425531917,41.0,47.0,23.1,0.12309902594143293,318825,Chicago,No court,41.87710770357853,-87.73286703707404
17031260700,Census Tract 2607,Garfield Park,0,0.0,0.0,46167.0,Q1 (lowest),1216,1.3980263157894737,86.8421052631579,16.365131578947366,34.45723684210527,38.9,45.0,21.4,0.1271052221091372,329201,Chicago,No court,41.87705659022654,-87.72799618499982
17031260800,Census Tract 2608,Garfield Park,0,0.0,0.0,36681.0,Q1 (lowest),1782,5.331088664421998,93.0976430976431,0.3928170594837262,31.313131313131315,40.7,48.8,22.4,0.12700637995233954,328945,Chicago,No court,41.87708482286876,-87.72309638827704
17031050700,Census Tract 507,North Center,0,0.0,0.0,130699.0,Q4 (highest),1484,84.70350404312669,0.3369272237196766,11.725067385444744,8.76010781671159,11.1,25.1,13.4,0.06344662600753363,164326,Chicago,No court,41.94507103847245,-87.67605949619478
17031050900,Census Tract 509,North Center,0,0.0,0.0,136053.0,Q4 (highest),1542,82.68482490272373,1.556420233463035,15.56420233463035,3.9030955585464335,12.8,25.2,13.9,0.06282809032319842,162724,Chicago,No court,41.9449465596841,-87.68577800321707
17031051000,Census Tract 510,North Center,0,0.0,0.0,184464.0,Q4 (highest),1665,74.77477477477478,6.126126126126126,8.528528528528529,3.123123123123123,11.5,24.5,13.0,0.06433852203176231,166636,Chicago,No court,41.941302426966494,-87.68573169844562
17031051100,Census Tract 511,North Center,0,0.0,0.0,181827.0,Q4 (highest),1864,73.39055793991416,0.37553648068669526,19.95708154506438,7.741935483870968,11.9,25.8,14.2,0.06281959607534861,162702,Chicago,No court,41.941365177959845,-87.68082663927251
17031051200,Census Tract 512,North Center,0,0.0,0.0,174598.0,Q4 (highest),1565,81.98083067092652,2.68370607028754,9.073482428115016,5.614266842800529,10.7,23.9,13.8,0.06353195458820658,164547,Chicago,No court,41.9414224477599,-87.67595355260681
17031831100,Census Tract 8311,Avondale,0,0.0,0.0,97640.0,Q4 (highest),6828,51.742823667252495,2.6215582893966025,49.97070884592853,12.369619509328631,21.5,30.0,15.4,0.5077857503586889,1315159,Chicago,No court,41.94285581303519,-87.71749553258198
17031831500,Census Tract 8315,Belmont Cragin,0,0.0,0.0,78682.0,Q3,3479,46.96751940212705,9.916642713423398,53.434895084794476,9.370508766887037,28.2,32.7,16.4,0.3716951584331665,962686,Chicago,No court,41.92759556923516,-87.78800675934622
